pwm,rpm_right,rpm_left
0,0,0
5,0,0
10,0,0
15,0,0
20,0,0
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
65,0,0
70,25,12.5
75,25,25
80,37.5,37.5
85,37.5,37.5
90,50,37.5
95,50,50
100,62.5,50
105,62.5,50
110,50,62.5
115,62.5,62.5
120,62.5,75
125,75,62.5
130,75,75
135,75,37.5
140,75,75
145,75,75
150,75,75
155,75,62.5
160,87.5,62.5
165,87.5,62.5
170,87.5,87.5
175,87.5,87.5
180,87.5,62.5
185,87.5,100
190,100,87.5
195,87.5,75
200,100,87.5
205,100,75
210,87.5,100
215,100,75
220,87.5,75
225,87.5,100
230,100,75
235,100,100
240,100,87.5
245,100,100
250,100,87.5
255,112.5,100
