,pwm,rpm_right,rpm_left
0,0,0.0,0.0
1,5,0.0,0.0
2,10,0.0,0.0
3,15,0.0,0.0
4,20,0.0,0.0
5,25,0.0,0.0
6,30,0.0,0.0
7,35,0.0,0.0
8,40,0.0,0.0
9,45,0.0,0.0
10,50,0.0,0.0
11,55,0.0,0.0
12,60,0.0,0.0
13,65,0.0,0.0
14,70,0.0,0.0
15,75,0.0,0.0
16,80,0.0,0.0
17,85,0.0,0.0
18,90,50.0,12.5
19,95,25.0,25.0
20,100,25.0,37.5
21,105,50.0,37.5
22,110,50.0,50.0
23,115,50.0,50.0
24,120,50.0,50.0
25,125,62.5,50.0
26,130,62.5,62.5
27,135,62.5,62.5
28,140,62.5,75.0
29,145,75.0,75.0
30,150,75.0,75.0
31,155,75.0,75.0
32,160,75.0,75.0
33,165,75.0,75.0
34,170,87.5,87.5
35,175,87.5,87.5
36,180,87.5,87.5
37,185,87.5,62.5
38,190,75.0,87.5
39,195,87.5,87.5
40,200,100.0,87.5
41,205,87.5,87.5
42,210,100.0,100.0
43,215,87.5,87.5
44,220,87.5,100.0
45,225,100.0,87.5
46,230,87.5,100.0
47,235,87.5,87.5
48,240,87.5,100.0
49,245,100.0,100.0
50,250,87.5,112.5
51,255,100.0,112.5
